time,open,high,low,close,volume
1758492000000,4471.51,4477.93,4446.0,4465.3,8896.4026
1758495600000,4465.31,4465.31,4443.0,4444.97,9449.2075
1758499200000,4444.98,4455.76,4322.0,4336.27,72264.5879
1758502800000,4336.28,4352.54,4325.0,4328.22,32891.7291
1758506400000,4328.22,4340.38,4261.6,4288.13,75820.8082
1758510000000,4288.13,4307.71,4287.0,4305.87,16227.74
1758513600000,4305.87,4310.49,4288.8,4290.45,11539.8374
1758517200000,4290.44,4298.3,4214.57,4219.39,23220.2137
1758520800000,4219.39,4224.57,4077.0,4192.12,133100.8925
1758524400000,4192.12,4224.95,4183.83,4193.38,48852.556
1758528000000,4193.38,4207.35,4186.31,4194.67,23259.5956
1758531600000,4194.68,4197.3,4136.47,4150.99,33081.0033
1758535200000,4150.99,4189.7,4138.8,4182.78,36004.5891
1758538800000,4182.78,4191.5,4173.83,4181.62,13948.0203
1758542400000,4181.63,4199.77,4169.17,4192.43,14605.2868
1758546000000,4192.44,4216.66,4173.48,4207.1,26442.8541
1758549600000,4207.1,4219.34,4183.39,4190.01,25899.8609
1758553200000,4190.0,4195.85,4159.16,4167.88,20897.1524
1758556800000,4167.88,4183.28,4160.96,4164.72,15983.0513
1758560400000,4164.82,4180.0,4146.51,4165.05,19498.1088
1758564000000,4165.01,4178.02,4155.25,4155.32,9237.8471
1758567600000,4155.31,4166.6,4122.0,4134.98,21488.1134
1758571200000,4134.99,4189.51,4134.34,4181.81,12947.1394
1758574800000,4181.8,4198.61,4176.39,4198.18,7228.252
1758578400000,4198.18,4198.55,4184.7,4190.74,7221.6857
1758582000000,4190.74,4207.91,4189.51,4199.08,6582.3098
1758585600000,4199.09,4211.56,4189.93,4191.39,11506.7713
1758589200000,4191.39,4198.86,4163.46,4163.71,10594.4561
1758592800000,4163.72,4183.03,4141.34,4144.21,13568.1342
1758596400000,4144.2,4197.4,4114.39,4188.01,26571.3252
1758600000000,4188.02,4193.91,4154.44,4177.02,10283.4085
