[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8675
[INFO] 2026-03-29 20:52:42 | BUY at 3.8676
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8873
[INFO] 2026-03-29 20:52:42 | BUY at 3.8369
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8101
[INFO] 2026-03-29 20:52:42 | BUY at 3.8416
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8453
[INFO] 2026-03-29 20:52:42 | BUY at 3.7927
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7909
[INFO] 2026-03-29 20:52:42 | BUY at 3.843
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8567
[INFO] 2026-03-29 20:52:42 | BUY at 3.834
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8215
[INFO] 2026-03-29 20:52:42 | BUY at 3.8107
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.805
[INFO] 2026-03-29 20:52:42 | BUY at 3.8227
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8384
[INFO] 2026-03-29 20:52:42 | BUY at 3.84
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.83
[INFO] 2026-03-29 20:52:42 | BUY at 3.83
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.826
[INFO] 2026-03-29 20:52:42 | BUY at 3.8097
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8475
[INFO] 2026-03-29 20:52:42 | BUY at 3.6673
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7
[INFO] 2026-03-29 20:52:42 | BUY at 3.6984
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6921
[INFO] 2026-03-29 20:52:42 | BUY at 3.6768
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6587
[INFO] 2026-03-29 20:52:42 | BUY at 3.7
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6913
[INFO] 2026-03-29 20:52:42 | BUY at 3.6997
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6702
[INFO] 2026-03-29 20:52:42 | BUY at 3.5963
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.5788
[INFO] 2026-03-29 20:52:42 | BUY at 3.7512
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7455
[INFO] 2026-03-29 20:52:42 | BUY at 3.7508
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7753
[INFO] 2026-03-29 20:52:42 | BUY at 3.7753
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7676
[INFO] 2026-03-29 20:52:42 | BUY at 3.7204
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7269
