timestamp,message
2025-10-01T23:32:06.812478+02:00,Сделка разрешена
2025-10-01T23:40:18.282908+02:00,Сделка разрешена
2025-10-01T23:40:20.160113+02:00,Сделка разрешена
2025-10-01T23:40:20.964569+02:00,Сделка разрешена
2025-10-01T23:40:20.970129+02:00,Сделка разрешена
2025-10-01T23:42:10.047803+02:00,Сделка разрешена
2025-10-01T23:47:14.739556+02:00,Сделка разрешена
2025-10-01T23:47:16.570845+02:00,Сделка разрешена
2025-10-01T23:47:17.146140+02:00,Сделка разрешена
2025-10-01T23:47:17.149609+02:00,Сделка разрешена
2025-10-01T23:48:57.291849+02:00,Сделка разрешена
2025-10-01T23:48:59.159020+02:00,Сделка разрешена
2025-10-01T23:48:59.859079+02:00,Сделка разрешена
2025-10-01T23:48:59.862356+02:00,Сделка разрешена
2025-10-01T23:58:07.019056+02:00,Сделка разрешена
2025-10-01T23:58:08.617173+02:00,Сделка разрешена
2025-10-01T23:58:08.711774+02:00,Сделка разрешена
2025-10-01T23:58:08.714847+02:00,Сделка разрешена
2025-10-01T23:58:09.451125+02:00,Сделка разрешена
2025-10-01T23:58:09.455109+02:00,Сделка разрешена
2025-10-01T23:58:49.752364+02:00,Сделка разрешена
2025-10-01T23:58:51.548277+02:00,Сделка разрешена
2025-10-01T23:58:51.644683+02:00,Сделка разрешена
2025-10-01T23:58:51.647762+02:00,Сделка разрешена
2025-10-01T23:58:52.403484+02:00,Сделка разрешена
2025-10-01T23:58:52.407789+02:00,Сделка разрешена
2025-10-01T23:59:09.619267+02:00,Сделка разрешена
2025-10-01T23:59:11.575210+02:00,Сделка разрешена
2025-10-01T23:59:11.668800+02:00,Сделка разрешена
2025-10-01T23:59:11.671899+02:00,Сделка разрешена
2025-10-01T23:59:12.414752+02:00,Сделка разрешена
2025-10-01T23:59:12.418195+02:00,Сделка разрешена
2025-10-02T00:00:10.619354+02:00,Сделка разрешена
2025-10-02T00:00:12.224280+02:00,Сделка разрешена
2025-10-02T00:00:12.323539+02:00,Сделка разрешена
2025-10-02T00:00:12.326659+02:00,Сделка разрешена
2025-10-02T00:00:13.065170+02:00,Сделка разрешена
2025-10-02T00:00:13.068593+02:00,Сделка разрешена
2025-10-02T00:23:22.103122+02:00,Сделка разрешена
2025-10-02T00:23:23.746425+02:00,Сделка разрешена
2025-10-02T00:23:23.842219+02:00,Сделка разрешена
2025-10-02T00:23:23.845554+02:00,Сделка разрешена
2025-10-02T00:23:24.600454+02:00,Сделка разрешена
2025-10-02T00:23:24.605142+02:00,Сделка разрешена
